run_id,k,window,lambda,w_window,p_miss,vip_stat,bad,rho_eff
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,1,4.200000,2,0.000000,0.044929,0,0.171496
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,2,4.200000,2,0.000000,0.049030,0,0.171496
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,3,5.000000,2,0.000000,0.043878,0,0.204161
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,4,3.900000,2,0.000000,0.046566,0,0.159246
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,7,4.100000,2,0.000000,0.043267,0,0.167412
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,9,4.200000,2,0.000000,0.046419,0,0.171496
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,10,4.700000,2,0.000000,0.042030,0,0.191912
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,11,4.600000,2,0.000000,0.049831,0,0.187828
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,12,4.400000,2,0.000000,0.043274,0,0.179662
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,14,3.600000,2,0.000000,0.042750,0,0.146996
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,16,3.800000,2,0.000000,0.046220,0,0.155163
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,17,4.000000,2,0.000000,0.045525,0,0.163329
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,18,4.000000,2,0.000000,0.043162,0,0.163329
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,20,21.400000,8,0.000000,0.122433,0,0.873811
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,22,23.200000,8,0.000000,0.119393,0,0.947309
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,23,22.300000,8,0.000000,0.116902,0,0.910560
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,28,21.200000,8,0.000000,0.142620,0,0.865644
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,29,20.500000,8,0.000000,0.108401,0,0.837062
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,30,21.200000,8,0.000000,0.137034,0,0.865644
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,32,23.500000,8,0.000000,0.123015,0,0.959559
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,34,24.100000,8,0.000000,0.133996,0,0.984058
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,39,21.800000,8,0.000000,0.108699,0,0.890144
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,41,4.200000,2,0.000000,0.055225,0,0.171496
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,42,4.100000,2,0.000000,0.045771,0,0.167412
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,44,4.200000,2,0.000000,0.048662,0,0.171496
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,46,3.000000,2,0.000000,0.042983,0,0.122497
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,47,4.100000,2,0.000000,0.043081,0,0.167412
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,48,3.900000,2,0.000000,0.047838,0,0.159246
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,52,3.200000,2,0.000000,0.053024,0,0.130663
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,54,4.100000,2,0.000000,0.041302,0,0.167412
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,55,4.900000,2,0.000000,0.047561,0,0.200078
seed=101__K=8__ts=20260119-185058__git=unknown__cfg=4415ec,8,59,3.600000,2,0.000000,0.044432,0,0.146996
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,1,4.200000,2,0.000000,0.049573,0,0.171496
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,2,4.200000,2,0.000000,0.047442,0,0.171496
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,3,5.000000,2,0.000000,0.045565,0,0.204161
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,4,3.900000,2,0.000000,0.042702,0,0.159246
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,7,4.100000,2,0.000000,0.044637,0,0.167412
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,9,4.200000,2,0.000000,0.048223,0,0.171496
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,10,4.700000,2,0.000000,0.045118,0,0.191912
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,11,4.600000,2,0.000000,0.044783,0,0.187828
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,12,4.400000,2,0.000000,0.045465,0,0.179662
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,14,3.600000,2,0.000000,0.045770,0,0.146996
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,16,3.800000,2,0.000000,0.043964,0,0.155163
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,17,4.000000,2,0.000000,0.043158,0,0.163329
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,18,4.000000,2,0.000000,0.050429,0,0.163329
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,20,21.200000,8,0.125000,38.280029,1,0.865644
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,22,23.400000,8,0.125000,19.759471,1,0.955475
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,23,21.900000,8,0.125000,9.109823,1,0.894227
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,28,20.900000,8,0.125000,10.120129,1,0.853395
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,29,20.600000,8,0.125000,40.984787,1,0.841145
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,30,21.300000,8,0.125000,38.371102,1,0.869728
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,32,23.400000,8,0.125000,17.585437,1,0.955475
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,34,24.000000,8,0.125000,32.220554,1,0.979975
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,39,21.700000,8,0.125000,10.048333,1,0.886061
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,40,4.200000,2,0.000000,0.150744,0,0.171496
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,41,4.100000,2,0.000000,0.040593,0,0.167412
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,42,4.100000,2,0.000000,0.041524,0,0.167412
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,44,4.100000,2,0.000000,0.043720,0,0.167412
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,46,2.800000,2,0.000000,0.043797,0,0.114330
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,47,4.100000,2,0.000000,0.045079,0,0.167412
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,48,4.100000,2,0.000000,0.043578,0,0.167412
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,51,4.300000,2,0.000000,0.051259,0,0.175579
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,52,3.400000,2,0.000000,0.044613,0,0.138830
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,54,4.000000,2,0.000000,0.040249,0,0.163329
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,55,5.000000,2,0.000000,0.049819,0,0.204161
seed=101__K=7__ts=20260119-190203__git=unknown__cfg=7d2805,7,59,3.400000,2,0.000000,0.044249,0,0.138830
