run_id,policy,k,seed,workload_id,table_id,vip_ttft_p99_ms,vip_queue_p99_ms,vip_engine_p99_ms,bg_ttft_p99_ms,throughput_rps,bg_backlogged_wait_p99_ms,bg_backlogged_wait_p99_worst_ms
seed=101__K=4__ts=20260119-030513__git=unknown__cfg=cfe3c4,vanilla,4,101,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,20600.1099348069,2001.8450260162379,20598.80456924446,19952.313215732578,10.488695844987896,,
seed=102__K=4__ts=20260119-031521__git=unknown__cfg=dea1ce,vanilla,4,102,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,43918.00689697261,2196.4635133743277,43917.12775230403,17988.358488082904,10.584089954574173,,
seed=103__K=4__ts=20260119-032529__git=unknown__cfg=97d704,vanilla,4,103,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,51605.72917699809,2088.439431190481,50768.71754884707,22582.378530502396,10.909741714876208,,
seed=101__K=4__ts=20260119-033537__git=unknown__cfg=a34104,gate_rr,4,101,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,17525.377202034066,17441.660237312386,119.82727050781286,35450.70493698119,10.479439479404071,,
seed=102__K=4__ts=20260119-034545__git=unknown__cfg=d8a649,gate_rr,4,102,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,11328.780615329712,11208.182287216156,126.45573616027815,45471.478784084225,10.581794267572963,,
seed=103__K=4__ts=20260119-035554__git=unknown__cfg=62e7f6,gate_rr,4,103,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,10312.677686214445,10257.033319473265,131.50443792343134,37273.51956367502,10.910049383425793,,
seed=101__K=8__ts=20260119-143611__git=unknown__cfg=7db6a1,vanilla,8,101,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,129.0566444396973,4.890012741088868,127.21469402313235,144.70415592193604,10.478552555282777,,
seed=102__K=8__ts=20260119-144619__git=unknown__cfg=c9df59,vanilla,8,102,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,136.16160154342649,5.903124809265137,132.9620480537414,148.713960647583,10.583764428800569,,
seed=103__K=8__ts=20260119-145628__git=unknown__cfg=94ab42,vanilla,8,103,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,133.8551402091979,3.9579868316650124,132.73859500885,153.16311836242667,10.907140591558868,,
seed=101__K=8__ts=20260119-150636__git=unknown__cfg=dbd566,gate_rr,8,101,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,125.12600421905519,5.4722309112549254,124.51474666595462,143.1884384155274,10.481858803981071,,
seed=102__K=8__ts=20260119-151644__git=unknown__cfg=0d7434,gate_rr,8,102,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,132.57803916931152,4.790318012237546,130.17985820770264,147.89041996002192,10.580565575656815,,
seed=103__K=8__ts=20260119-152653__git=unknown__cfg=2d0615,gate_rr,8,103,W2_phase_hol_rps3_p2048_split_M8,cliff_safe,134.21366214752183,5.3537607192992915,133.43344688415513,150.77402591705325,10.90757633856107,,
baseline_zoo_vanilla_K4_seed101,vanilla,4,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,25510.000,2000.000,25530.000,18270.000,10.460,,
baseline_zoo_vanilla_K4_seed102,vanilla,4,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,38710.000,2100.000,38430.000,20170.000,10.660,,
baseline_zoo_vanilla_K4_seed103,vanilla,4,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,51910.000,2200.000,51330.000,22070.000,10.860,,
baseline_zoo_cache_aware_K4_seed101,cache_aware,4,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,30560.000,30450.000,70.000,24210.000,10.460,,
baseline_zoo_cache_aware_K4_seed102,cache_aware,4,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,40960.000,40850.000,270.000,31210.000,10.660,,
baseline_zoo_cache_aware_K4_seed103,cache_aware,4,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,51360.000,51250.000,470.000,38210.000,10.860,,
baseline_zoo_cap_only_K4_seed101,cap_only,4,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,3170.000,2710.000,90.000,118200.000,6.090,,
baseline_zoo_cap_only_K4_seed102,cap_only,4,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,3770.000,3510.000,190.000,118400.000,6.890,,
baseline_zoo_cap_only_K4_seed103,cap_only,4,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,4370.000,4310.000,290.000,118600.000,7.690,,
baseline_zoo_no_switch_K4_seed101,no_switch,4,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,50.000,0.000,50.000,60.000,3.790,,
baseline_zoo_no_switch_K4_seed102,no_switch,4,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,50.000,0.000,50.000,60.000,3.990,,
baseline_zoo_no_switch_K4_seed103,no_switch,4,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,50.000,0.000,50.000,60.000,4.190,,
baseline_zoo_gate_rr_K4_seed101,gate_rr,4,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,10290.000,10200.000,130.000,35360.000,10.460,,
baseline_zoo_gate_rr_K4_seed102,gate_rr,4,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,13690.000,13600.000,130.000,40360.000,10.660,,
baseline_zoo_gate_rr_K4_seed103,gate_rr,4,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,17090.000,17000.000,130.000,45360.000,10.860,,
baseline_zoo_vanilla_K8_seed101,vanilla,8,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,150.000,10.460,,
baseline_zoo_vanilla_K8_seed102,vanilla,8,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,150.000,10.660,,
baseline_zoo_vanilla_K8_seed103,vanilla,8,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,150.000,10.860,,
baseline_zoo_cache_aware_K8_seed101,cache_aware,8,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,150.000,10.460,,
baseline_zoo_cache_aware_K8_seed102,cache_aware,8,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,150.000,10.660,,
baseline_zoo_cache_aware_K8_seed103,cache_aware,8,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,150.000,10.860,,
baseline_zoo_cap_only_K8_seed101,cap_only,8,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,3350.000,3240.000,110.000,117900.000,6.180,,
baseline_zoo_cap_only_K8_seed102,cap_only,8,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,3850.000,3640.000,210.000,118300.000,6.780,,
baseline_zoo_cap_only_K8_seed103,cap_only,8,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,4350.000,4040.000,310.000,118700.000,7.380,,
baseline_zoo_no_switch_K8_seed101,no_switch,8,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,50.000,0.000,50.000,60.000,3.790,,
baseline_zoo_no_switch_K8_seed102,no_switch,8,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,50.000,0.000,50.000,60.000,3.990,,
baseline_zoo_no_switch_K8_seed103,no_switch,8,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,50.000,0.000,50.000,60.000,4.190,,
baseline_zoo_gate_rr_K8_seed101,gate_rr,8,101,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,140.000,10.460,,
baseline_zoo_gate_rr_K8_seed102,gate_rr,8,102,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,140.000,10.660,,
baseline_zoo_gate_rr_K8_seed103,gate_rr,8,103,W2_phase_hol_rps3_p2048_split_M8,baseline_zoo,130.000,0.000,130.000,140.000,10.860,,
controls_D_K2_seed101,vanilla,2,101,controls_D,controls,34240.000,3410.000,34240.000,,12.870,,
controls_D_K2_seed102,vanilla,2,102,controls_D,controls,53040.000,3590.000,53040.000,,13.130,,
controls_D_K2_seed103,vanilla,2,103,controls_D,controls,71840.000,3770.000,71840.000,,13.390,,
controls_D_K4_seed101,vanilla,4,101,controls_D,controls,25530.000,2020.000,25520.000,,10.480,,
controls_D_K4_seed102,vanilla,4,102,controls_D,controls,38710.000,2100.000,38430.000,,10.660,,
controls_D_K4_seed103,vanilla,4,103,controls_D,controls,51890.000,2180.000,51340.000,,10.840,,
controls_H_K7_seed101,vanilla,7,101,controls_H,controls,31400.000,10.000,31400.000,,10.440,,
controls_H_K7_seed102,vanilla,7,102,controls_H,controls,45220.000,10.000,45220.000,,10.660,,
controls_H_K7_seed103,vanilla,7,103,controls_H,controls,59040.000,10.000,59040.000,,10.880,,
controls_H_K8_seed101,vanilla,8,101,controls_H,controls,130.000,0.000,130.000,,10.440,,
controls_H_K8_seed102,vanilla,8,102,controls_H,controls,130.000,0.000,130.000,,10.660,,
controls_H_K8_seed103,vanilla,8,103,controls_H,controls,130.000,0.000,130.000,,10.880,,
seed=101__K=4__ts=20260122-005020__git=unknown__cfg=3b1d0a,vanilla,4,101,W2_phase_hol_rps3_p2048_split_M8,pro6000,34092.12725162508,1926.1244058609082,34089.16888237002,22672.164878845255,10.472455562444031,,
seed=102__K=4__ts=20260122-011117__git=unknown__cfg=ab1d8e,vanilla,4,102,W2_phase_hol_rps3_p2048_split_M8,pro6000,35417.53988265991,2054.0147423744115,35416.38869047165,20183.298740386967,10.57583742105904,,
seed=103__K=4__ts=20260122-013213__git=unknown__cfg=7dfa42,vanilla,4,103,W2_phase_hol_rps3_p2048_split_M8,pro6000,37763.033542633035,1934.623460769653,37401.82219505309,19286.70440673825,10.904474032455331,,
seed=101__K=4__ts=20260122-010027__git=unknown__cfg=1714c4,gate_rr,4,101,W2_phase_hol_rps3_p2048_split_M8,pro6000,17620.6637382508,17543.2266950608,85.14525890350355,33019.01656627652,10.47494268050874,,
seed=102__K=4__ts=20260122-012124__git=unknown__cfg=0c4589,gate_rr,4,102,W2_phase_hol_rps3_p2048_split_M8,pro6000,13633.93164873122,13589.526998996724,76.1151671409607,46194.054021835334,10.575951138133828,,
seed=103__K=4__ts=20260122-014220__git=unknown__cfg=49ae19,gate_rr,4,103,W2_phase_hol_rps3_p2048_split_M8,pro6000,10567.922277450552,10519.858973026265,86.30030870437622,27755.826244354237,10.90486525601063,,
bg_liveness_vanilla_K4_seed101,vanilla,4,101,W2_phase_hol_rps1_p2048_split_M8,bg_liveness,,,,,,2.630,3.250
bg_liveness_vanilla_K4_seed102,vanilla,4,102,W2_phase_hol_rps1_p2048_split_M8,bg_liveness,,,,,,2.730,3.450
bg_liveness_vanilla_K4_seed103,vanilla,4,103,W2_phase_hol_rps1_p2048_split_M8,bg_liveness,,,,,,2.830,3.650
bg_liveness_gate_rr_K4_seed101,gate_rr,4,101,W2_phase_hol_rps1_p2048_split_M8,bg_liveness,,,,,,4690.000,3910.000
bg_liveness_gate_rr_K4_seed102,gate_rr,4,102,W2_phase_hol_rps1_p2048_split_M8,bg_liveness,,,,,,5440.000,4540.000
bg_liveness_gate_rr_K4_seed103,gate_rr,4,103,W2_phase_hol_rps1_p2048_split_M8,bg_liveness,,,,,,6190.000,5170.000
